Model,Mean,Std,CI
RF-All,0.8786372086372086,0.02813518506692446,0.02466157705671858
SVM-All,0.8416716716716716,0.0502436472304235,0.04404049857274042
SVM-RFE,0.8288413413413414,0.05535262372571165,0.048518713918394296
RF-RFE,0.8275832975832976,0.04889471993372578,0.04285811166494894
XGB-All,0.8059287859287858,0.04976664704937121,0.04362238947933627
KNN-All,0.8048673673673674,0.022294994032293864,0.019542423907951197
KNN-RFE,0.7900007150007149,0.062321582839659065,0.05462727591238592
XGB-RFE,0.7864364364364363,0.023903421906608574,0.020952273100989485
MLP-All,0.6066166057832724,0.19144485434870892,0.16780881364037367
MLP-RFE,0.5619757853091185,0.19936541047304723,0.17475148719051378
